ticker,event_date,phase,publisher,n_units
AAPL,2023-02-02,pre,cnbc.com,7
AAPL,2023-02-02,pre,cnet.com,2
AAPL,2023-02-02,pre,etftrends.com,1
AAPL,2023-02-02,pre,fool.com,38
AAPL,2023-02-02,pre,forbes.com,1
AAPL,2023-02-02,pre,foxbusiness.com,2
AAPL,2023-02-02,pre,investopedia.com,3
AAPL,2023-02-02,pre,investorplace.com,12
AAPL,2023-02-02,pre,investors.com,6
AAPL,2023-02-02,pre,invezz.com,2
AAPL,2023-02-02,pre,marketbeat.com,2
AAPL,2023-02-02,pre,marketwatch.com,9
AAPL,2023-02-02,pre,nypost.com,1
AAPL,2023-02-02,pre,nytimes.com,2
AAPL,2023-02-02,pre,proactiveinvestors.co.uk,1
AAPL,2023-02-02,pre,reuters.com,11
AAPL,2023-02-02,pre,seekingalpha.com,14
AAPL,2023-02-02,pre,stockmarket.com,1
AAPL,2023-02-02,pre,techcrunch.com,2
AAPL,2023-02-02,pre,techxplore.com,3
AAPL,2023-02-02,pre,thedogofwallstreet.com,1
AAPL,2023-02-02,pre,wsj.com,2
AAPL,2023-02-02,pre,zacks.com,19
AAPL,2023-05-04,post,barrons.com,5
AAPL,2023-05-04,post,benzinga.com,2
AAPL,2023-05-04,post,businessinsider.com,1
AAPL,2023-05-04,post,businesswire.com,6
AAPL,2023-05-04,post,cnbc.com,10
AAPL,2023-05-04,post,cnet.com,1
AAPL,2023-05-04,post,deadline.com,1
AAPL,2023-05-04,post,etftrends.com,1
AAPL,2023-05-04,post,fool.com,34
AAPL,2023-05-04,post,forbes.com,5
AAPL,2023-05-04,post,gurufocus.com,1
AAPL,2023-05-04,post,investopedia.com,1
AAPL,2023-05-04,post,investorplace.com,11
AAPL,2023-05-04,post,investors.com,10
AAPL,2023-05-04,post,invezz.com,1
AAPL,2023-05-04,post,kiplinger.com,1
AAPL,2023-05-04,post,marketbeat.com,3
AAPL,2023-05-04,post,marketwatch.com,14
AAPL,2023-05-04,post,news.sky.com,1
AAPL,2023-05-04,post,nypost.com,3
AAPL,2023-05-04,post,nytimes.com,2
AAPL,2023-05-04,post,proactiveinvestors.co.uk,1
AAPL,2023-05-04,post,proactiveinvestors.com,1
AAPL,2023-05-04,post,pymnts.com,1
AAPL,2023-05-04,post,reuters.com,14
AAPL,2023-05-04,post,seekingalpha.com,9
AAPL,2023-05-04,post,stockmarket.com,2
AAPL,2023-05-04,post,techcrunch.com,10
AAPL,2023-05-04,post,techxplore.com,5
AAPL,2023-05-04,post,thedogofwallstreet.com,1
AAPL,2023-05-04,post,theguardian.com,5
AAPL,2023-05-04,post,wsj.com,2
AAPL,2023-05-04,post,zacks.com,14
AAPL,2023-05-04,pre,247wallst.com,1
AAPL,2023-05-04,pre,barrons.com,10
AAPL,2023-05-04,pre,benzinga.com,4
AAPL,2023-05-04,pre,businesswire.com,4
AAPL,2023-05-04,pre,cnbc.com,9
AAPL,2023-05-04,pre,cnet.com,4
AAPL,2023-05-04,pre,cnn.com,4
AAPL,2023-05-04,pre,deadline.com,1
AAPL,2023-05-04,pre,finbold.com,1
AAPL,2023-05-04,pre,fool.com,27
AAPL,2023-05-04,pre,forbes.com,5
AAPL,2023-05-04,pre,gurufocus.com,6
AAPL,2023-05-04,pre,investopedia.com,1
AAPL,2023-05-04,pre,investorplace.com,10
